P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,target
0.0,0.0,1.0,9.0,15.0,11.0,0.0,0.0,0.0,0.0,11.0,16.0,8.0,14.0,6.0,0.0,0.0,2.0,16.0,10.0,0.0,9.0,9.0,0.0,0.0,1.0,16.0,4.0,0.0,8.0,8.0,0.0,0.0,4.0,16.0,4.0,0.0,8.0,8.0,0.0,0.0,1.0,16.0,5.0,1.0,11.0,3.0,0.0,0.0,0.0,12.0,12.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,10.0,13.0,3.0,0.0,0.0,0
0.0,0.0,0.0,0.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,14.0,16.0,12.0,0.0,0.0,0.0,1.0,10.0,16.0,16.0,12.0,0.0,0.0,0.0,3.0,12.0,14.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,16.0,1.0,0.0,1
0.0,0.0,5.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,15.0,9.0,8.0,2.0,0.0,0.0,3.0,11.0,8.0,13.0,12.0,4.0,2
0.0,2.0,9.0,15.0,14.0,9.0,3.0,0.0,0.0,4.0,13.0,8.0,9.0,16.0,8.0,0.0,0.0,0.0,0.0,6.0,14.0,15.0,3.0,0.0,0.0,0.0,0.0,11.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,4.0,0.0,0.0,1.0,5.0,6.0,13.0,16.0,6.0,0.0,0.0,2.0,12.0,12.0,13.0,11.0,0.0,0.0,3
0.0,0.0,0.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,13.0,1.0,1.0,0.0,0.0,0.0,10.0,15.0,3.0,15.0,11.0,0.0,0.0,7.0,16.0,7.0,1.0,16.0,8.0,0.0,0.0,9.0,16.0,13.0,14.0,16.0,5.0,0.0,0.0,1.0,10.0,15.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,4.0,0.0,0.0,4
0.0,5.0,12.0,13.0,16.0,16.0,2.0,0.0,0.0,11.0,16.0,15.0,8.0,4.0,0.0,0.0,0.0,8.0,14.0,11.0,1.0,0.0,0.0,0.0,0.0,8.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,3.0,0.0,0.0,0.0,1.0,5.0,15.0,13.0,0.0,0.0,0.0,0.0,4.0,15.0,16.0,2.0,0.0,0.0,0.0,5
0.0,0.0,0.0,8.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,16.0,13.0,5.0,0.0,0.0,0.0,15.0,16.0,9.0,9.0,14.0,0.0,0.0,0.0,3.0,14.0,9.0,2.0,16.0,2.0,0.0,0.0,0.0,7.0,15.0,16.0,11.0,0.0,6
0.0,0.0,1.0,8.0,15.0,10.0,0.0,0.0,0.0,3.0,13.0,15.0,14.0,14.0,0.0,0.0,0.0,5.0,10.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,3.0,5.0,15.0,10.0,2.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,12.0,0.0,0.0,1.0,8.0,12.0,14.0,8.0,3.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,0.0,0.0,7
0.0,0.0,10.0,7.0,13.0,9.0,0.0,0.0,0.0,0.0,9.0,10.0,12.0,15.0,2.0,0.0,0.0,0.0,4.0,11.0,10.0,11.0,0.0,0.0,0.0,0.0,1.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,12.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,5.0,0.0,0.0,0.0,8
0.0,0.0,6.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,16.0,2.0,0.0,0.0,7.0,16.0,16.0,13.0,11.0,1.0,9
0.0,0.0,3.0,13.0,11.0,7.0,0.0,0.0,0.0,0.0,11.0,16.0,16.0,16.0,2.0,0.0,0.0,4.0,16.0,9.0,1.0,14.0,2.0,0.0,0.0,4.0,16.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,12.0,8.0,0.0,0.0,0.0,15.0,9.0,0.0,13.0,6.0,0.0,0.0,0.0,9.0,14.0,9.0,14.0,1.0,0.0,0.0,0.0,2.0,12.0,13.0,4.0,0.0,0.0,0
0.0,0.0,0.0,2.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,4.0,16.0,16.0,2.0,0.0,0.0,1.0,4.0,12.0,16.0,12.0,0.0,0.0,0.0,7.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,0.0,3.0,10.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,15.0,4.0,0.0,1
0.0,0.0,8.0,16.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,8.0,8.0,3.0,0.0,0.0,0.0,7.0,12.0,12.0,12.0,13.0,1.0,2
0.0,1.0,8.0,12.0,15.0,14.0,4.0,0.0,0.0,3.0,11.0,8.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,7.0,0.0,0.0,0.0,0.0,2.0,15.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,7.0,8.0,14.0,15.0,0.0,0.0,0.0,0.0,14.0,15.0,11.0,2.0,0.0,0.0,3
0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0,7.0,8.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,16.0,6.0,0.0,0.0,6.0,16.0,10.0,11.0,16.0,0.0,0.0,0.0,0.0,5.0,10.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,4
0.0,0.0,12.0,8.0,8.0,7.0,0.0,0.0,0.0,3.0,16.0,16.0,11.0,7.0,0.0,0.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0,16.0,4.0,0.0,0.0,0.0,0.0,11.0,14.0,9.0,0.0,0.0,0.0,5
0.0,0.0,1.0,13.0,14.0,3.0,0.0,0.0,0.0,0.0,8.0,16.0,13.0,2.0,0.0,0.0,0.0,2.0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,3.0,16.0,12.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,14.0,5.0,0.0,0.0,0.0,0.0,3.0,16.0,16.0,16.0,16.0,6.0,0.0,0.0,1.0,14.0,16.0,16.0,16.0,12.0,0.0,0.0,0.0,3.0,12.0,15.0,14.0,7.0,0.0,6
0.0,0.0,0.0,8.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,6.0,10.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,2.0,8.0,11.0,12.0,16.0,8.0,0.0,0.0,8.0,16.0,16.0,16.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,1.0,0.0,0.0,0.0,0.0,9.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,1.0,0.0,0.0,7
0.0,0.0,10.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,13.0,13.0,1.0,0.0,0.0,0.0,8.0,11.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,13.0,15.0,13.0,0.0,0.0,0.0,1.0,11.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,15.0,3.0,9.0,10.0,0.0,0.0,0.0,0.0,14.0,6.0,15.0,10.0,0.0,0.0,0.0,0.0,8.0,14.0,7.0,1.0,0.0,0.0,8
0.0,0.0,9.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,12.0,13.0,16.0,6.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,3.0,7.0,12.0,14.0,16.0,2.0,0.0,0.0,7.0,12.0,12.0,12.0,11.0,0.0,9
0.0,0.0,10.0,14.0,11.0,3.0,0.0,0.0,0.0,4.0,16.0,13.0,6.0,14.0,1.0,0.0,0.0,4.0,16.0,2.0,0.0,11.0,7.0,0.0,0.0,8.0,16.0,0.0,0.0,10.0,5.0,0.0,0.0,8.0,16.0,0.0,0.0,14.0,4.0,0.0,0.0,8.0,16.0,0.0,1.0,16.0,1.0,0.0,0.0,4.0,16.0,1.0,11.0,15.0,0.0,0.0,0.0,0.0,11.0,16.0,12.0,3.0,0.0,0.0,0
0.0,0.0,2.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,5.0,15.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,16.0,2.0,0.0,0.0,2.0,15.0,13.0,14.0,13.0,2.0,9
0.0,2.0,13.0,16.0,16.0,16.0,11.0,0.0,0.0,5.0,16.0,10.0,5.0,4.0,1.0,0.0,0.0,6.0,16.0,7.0,3.0,0.0,0.0,0.0,0.0,9.0,16.0,16.0,16.0,6.0,0.0,0.0,0.0,3.0,8.0,4.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,15.0,0.0,0.0,0.0,0.0,4.0,13.0,16.0,6.0,0.0,0.0,0.0,2.0,16.0,15.0,8.0,0.0,0.0,0.0,5
0.0,6.0,13.0,5.0,8.0,8.0,1.0,0.0,0.0,8.0,16.0,16.0,16.0,16.0,6.0,0.0,0.0,6.0,16.0,9.0,6.0,4.0,0.0,0.0,0.0,6.0,16.0,16.0,15.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,9.0,0.0,0.0,0.0,1.0,8.0,13.0,15.0,3.0,0.0,0.0,0.0,4.0,16.0,15.0,3.0,0.0,0.0,0.0,5
0.0,0.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0,15.0,16.0,15.0,11.0,1.0,0.0,0.0,2.0,13.0,14.0,1.0,12.0,9.0,0.0,0.0,0.0,4.0,16.0,7.0,13.0,9.0,0.0,0.0,0.0,0.0,5.0,16.0,15.0,3.0,0.0,6
0.0,3.0,15.0,8.0,8.0,6.0,0.0,0.0,0.0,4.0,16.0,16.0,16.0,13.0,2.0,0.0,0.0,3.0,16.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,16.0,15.0,3.0,0.0,0.0,0.0,0.0,7.0,6.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,10.0,0.0,0.0,0.0,0.0,5.0,14.0,15.0,2.0,0.0,0.0,0.0,1.0,15.0,14.0,1.0,0.0,0.0,0.0,5
0.0,0.0,6.0,14.0,10.0,2.0,0.0,0.0,0.0,0.0,15.0,15.0,13.0,15.0,3.0,0.0,0.0,2.0,16.0,10.0,0.0,13.0,9.0,0.0,0.0,1.0,16.0,5.0,0.0,12.0,5.0,0.0,0.0,0.0,16.0,3.0,0.0,13.0,6.0,0.0,0.0,1.0,15.0,5.0,6.0,13.0,1.0,0.0,0.0,0.0,16.0,11.0,14.0,10.0,0.0,0.0,0.0,0.0,7.0,16.0,11.0,1.0,0.0,0.0,0
0.0,0.0,13.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,14.0,7.0,0.0,0.0,0.0,0.0,4.0,16.0,8.0,14.0,0.0,0.0,0.0,0.0,2.0,14.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,5.0,8.0,5.0,9.0,14.0,0.0,0.0,0.0,13.0,13.0,15.0,16.0,13.0,0.0,9
0.0,0.0,7.0,7.0,13.0,16.0,4.0,0.0,0.0,0.0,13.0,13.0,6.0,12.0,7.0,0.0,0.0,0.0,10.0,4.0,10.0,11.0,1.0,0.0,0.0,0.0,8.0,16.0,10.0,0.0,0.0,0.0,0.0,3.0,14.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,11.0,5.0,0.0,0.0,0.0,0.0,4.0,10.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,11.0,16.0,6.0,0.0,0.0,0.0,8
0.0,1.0,9.0,16.0,13.0,7.0,0.0,0.0,0.0,7.0,14.0,4.0,10.0,12.0,0.0,0.0,0.0,6.0,15.0,9.0,16.0,11.0,0.0,0.0,0.0,0.0,9.0,11.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,3.0,13.0,8.0,5.0,14.0,5.0,0.0,0.0,0.0,9.0,14.0,13.0,10.0,1.0,0.0,9
0.0,0.0,11.0,10.0,12.0,4.0,0.0,0.0,0.0,0.0,12.0,13.0,9.0,16.0,1.0,0.0,0.0,0.0,7.0,13.0,11.0,16.0,0.0,0.0,0.0,0.0,1.0,16.0,14.0,4.0,0.0,0.0,0.0,0.0,10.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,12.0,7.0,0.0,0.0,0.0,4.0,14.0,4.0,12.0,13.0,0.0,0.0,0.0,1.0,11.0,14.0,12.0,4.0,0.0,0.0,8
0.0,0.0,0.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,4.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,14.0,2.0,11.0,3.0,0.0,0.0,4.0,16.0,9.0,4.0,16.0,10.0,0.0,0.0,9.0,16.0,11.0,13.0,16.0,2.0,0.0,0.0,0.0,9.0,16.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,2.0,0.0,0.0,4
0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,12.0,0.0,0.0,0.0,0.0,1.0,12.0,16.0,11.0,0.0,0.0,0.0,2.0,12.0,16.0,16.0,10.0,0.0,0.0,0.0,6.0,11.0,5.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.0,0.0,0.0,1
0.0,0.0,0.0,9.0,15.0,12.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,4.0,9.0,8.0,10.0,13.0,1.0,0.0,0.0,4.0,16.0,15.0,16.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,7
0.0,0.0,9.0,16.0,16.0,16.0,5.0,0.0,0.0,1.0,14.0,10.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,3.0,0.0,0.0,3.0,8.0,11.0,15.0,16.0,11.0,0.0,0.0,8.0,16.0,16.0,15.0,11.0,3.0,0.0,0.0,0.0,2.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,7
0.0,0.0,9.0,16.0,13.0,6.0,0.0,0.0,0.0,0.0,6.0,5.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,4.0,8.0,11.0,15.0,12.0,0.0,0.0,0.0,11.0,14.0,12.0,8.0,0.0,0.0,3
0.0,1.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,16.0,16.0,14.0,2.0,0.0,0.0,6.0,16.0,11.0,8.0,8.0,3.0,0.0,0.0,5.0,16.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,7.0,0.0,0.0,0.0,0.0,6.0,16.0,16.0,4.0,0.0,0.0,0.0,0.0,14.0,14.0,4.0,0.0,0.0,0.0,5
0.0,0.0,0.0,1.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,13.0,0.0,0.0,0.0,0.0,4.0,14.0,16.0,9.0,0.0,0.0,0.0,10.0,16.0,11.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,0.0,0.0,1
0.0,0.0,2.0,15.0,13.0,3.0,0.0,0.0,0.0,0.0,10.0,15.0,11.0,15.0,0.0,0.0,0.0,3.0,16.0,6.0,0.0,10.0,0.0,0.0,0.0,4.0,16.0,8.0,0.0,3.0,8.0,0.0,0.0,8.0,14.0,3.0,0.0,4.0,8.0,0.0,0.0,3.0,15.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,14.0,11.0,6.0,14.0,5.0,0.0,0.0,0.0,4.0,12.0,15.0,6.0,0.0,0.0,0
0.0,0.0,1.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,7.0,16.0,14.0,8.0,0.0,0.0,0.0,8.0,12.0,9.0,2.0,13.0,2.0,0.0,0.0,7.0,9.0,1.0,0.0,6.0,6.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,15.0,2.0,0.0,8.0,12.0,0.0,0.0,0.0,9.0,15.0,13.0,16.0,6.0,0.0,0.0,0.0,0.0,13.0,14.0,8.0,0.0,0.0,0
0.0,0.0,0.0,5.0,14.0,12.0,2.0,0.0,0.0,0.0,7.0,15.0,8.0,14.0,4.0,0.0,0.0,0.0,6.0,2.0,3.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,1.0,11.0,9.0,0.0,0.0,0.0,0.0,8.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,16.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,13.0,3.0,0.0,2
0.0,0.0,0.0,3.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,11.0,10.0,16.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,15.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,15.0,4.0,0.0,0.0,0.0,0.0,6.0,15.0,6.0,0.0,0.0,0.0,4.0,15.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,15.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,14.0,7.0,0.0,2
