Id;LotFrontage;LotArea;MasVnrArea;BsmtFinSF1;BsmtFinSF2;BsmtUnfSF;TotalBsmtSF;1stFlrSF;2ndFlrSF;LowQualFinSF;GrLivArea;GarageArea;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;MiscVal;SalePrice
36;108;13418;132;0;0;1117;1117;1132;1320;0;2452;691;113;32;0;0;0;0;0;309000
37;112;10859;0;0;0;1097;1097;1097;0;0;1097;672;392;64;0;0;0;0;0;145000
38;74;8532;650;1213;0;84;1297;1297;0;0;1297;498;0;0;0;0;0;0;0;153000
39;68;7922;0;731;0;326;1057;1057;0;0;1057;246;0;52;0;0;0;0;0;109000
40;65;6040;0;0;0;0;0;1152;0;0;1152;0;0;0;0;0;0;0;0;82000
41;84;8658;101;643;0;445;1088;1324;0;0;1324;440;0;138;0;0;0;0;0;160000
42;115;16905;0;967;0;383;1350;1328;0;0;1328;308;0;104;0;0;0;0;0;170000
43;NA;9180;0;747;93;0;840;884;0;0;884;504;240;0;0;0;0;0;0;144000
44;NA;9200;0;280;491;167;938;938;0;0;938;308;145;0;0;0;0;0;0;130250
45;70;7945;0;179;506;465;1150;1150;0;0;1150;300;0;0;0;0;0;0;0;141000
46;61;7658;412;456;0;1296;1752;1752;0;0;1752;576;196;82;0;0;0;0;0;319900
47;48;12822;0;1351;0;83;1434;1518;631;0;2149;670;168;43;0;0;198;0;0;239686
48;84;11096;0;24;0;1632;1656;1656;0;0;1656;826;0;146;0;0;0;0;0;249700
49;33;4456;0;0;0;736;736;736;716;0;1452;0;0;0;102;0;0;0;0;113000
50;66;7742;0;763;0;192;955;955;0;0;955;386;0;0;0;0;0;0;0;127000
51;NA;13869;0;182;0;612;794;794;676;0;1470;388;0;75;0;0;0;0;0;177000
52;52;6240;0;0;0;816;816;816;0;360;1176;528;112;0;0;0;0;0;400;114500
53;110;8472;0;104;712;0;816;816;0;0;816;516;106;0;0;0;0;0;0;110000
54;68;50271;0;1810;0;32;1842;1842;0;0;1842;894;857;72;0;0;0;0;0;385000
55;60;7134;0;384;0;0;384;1360;0;0;1360;572;0;50;0;0;0;0;0;130000
56;100;10175;272;490;0;935;1425;1425;0;0;1425;576;0;0;0;407;0;0;0;180500
57;24;2645;456;649;0;321;970;983;756;0;1739;480;115;0;0;0;0;0;0;172500
58;89;11645;0;0;0;860;860;860;860;0;1720;565;0;70;0;0;0;0;0;196500
59;66;13682;1031;0;0;1410;1410;1426;1519;0;2945;641;192;0;37;0;0;0;0;438780
60;60;7200;0;632;0;148;780;780;0;0;780;352;196;0;0;0;0;0;0;124900
61;63;13072;0;941;0;217;1158;1158;0;0;1158;576;0;50;0;0;0;0;0;158000
62;60;7200;0;0;0;530;530;581;530;0;1111;288;0;0;144;0;0;0;0;101000
63;44;6442;178;24;0;1346;1370;1370;0;0;1370;484;120;49;0;0;0;0;0;202500
64;50;10300;0;0;0;576;576;902;808;0;1710;480;12;11;64;0;0;0;0;140000
65;NA;9375;573;739;0;318;1057;1057;977;0;2034;645;576;36;0;0;0;0;0;219500
66;76;9591;344;0;0;1143;1143;1143;1330;0;2473;852;192;151;0;0;0;0;0;317000
67;NA;19900;287;912;0;1035;1947;2207;0;0;2207;576;301;0;0;0;0;0;0;180000
68;72;10665;167;1013;0;440;1453;1479;0;0;1479;558;144;29;0;0;0;0;0;226000
69;47;4608;0;0;0;747;747;747;0;0;747;220;0;0;0;0;0;0;0;80000
70;81;15593;0;603;0;701;1304;1304;983;0;2287;667;0;21;114;0;0;0;0;225000
71;95;13651;1115;1880;0;343;2223;2223;0;0;2223;516;300;0;0;0;0;0;0;244000
72;69;7599;0;565;0;280;845;845;0;0;845;360;0;0;0;0;0;0;0;129500
73;74;10141;40;0;0;832;832;885;833;0;1718;427;0;94;0;0;291;0;0;185000
74;85;10200;104;320;362;404;1086;1086;0;0;1086;490;0;0;0;0;0;0;0;144900
75;60;5790;0;0;0;840;840;840;765;0;1605;379;0;0;202;0;0;0;0;107400
76;21;1596;0;462;0;0;462;526;462;0;988;297;120;101;0;0;0;0;0;91000
77;NA;8475;0;228;0;724;952;952;0;0;952;283;0;0;0;0;0;0;0;135750
78;50;8635;0;336;41;295;672;1072;213;0;1285;240;0;0;0;0;0;0;0;127000
79;72;10778;0;0;0;1768;1768;1768;0;0;1768;0;0;0;0;0;0;0;0;136500
80;60;10440;0;0;0;440;440;682;548;0;1230;440;74;0;128;0;0;0;0;110000
81;100;13000;576;448;0;448;896;1182;960;0;2142;509;0;72;0;0;252;0;0;193500
82;32;4500;443;1201;0;36;1237;1337;0;0;1337;405;0;199;0;0;0;0;0;153500
83;78;10206;468;33;0;1530;1563;1563;0;0;1563;758;144;99;0;0;0;0;0;245000
84;80;8892;66;0;0;1065;1065;1065;0;0;1065;461;74;0;0;0;0;0;0;126500
85;NA;8530;22;0;0;384;384;804;670;0;1474;400;120;72;0;0;0;0;700;168500
86;121;16059;284;0;0;1288;1288;1301;1116;0;2417;462;127;82;0;0;0;0;0;260000
87;122;11911;0;0;0;684;684;684;876;0;1560;400;100;38;0;0;0;0;0;174000
88;40;3951;76;0;0;612;612;612;612;0;1224;528;0;234;0;0;0;0;0;164500
89;105;8470;0;0;0;1013;1013;1013;0;513;1526;0;0;0;156;0;0;0;0;85000
90;60;8070;0;588;0;402;990;990;0;0;990;0;0;0;0;0;0;0;0;123600
91;60;7200;0;0;0;0;0;1040;0;0;1040;420;0;29;0;0;0;0;0;109900
92;85;8500;203;600;0;635;1235;1235;0;0;1235;480;0;0;0;0;0;0;0;98600
93;80;13360;0;713;0;163;876;964;0;0;964;432;0;0;44;0;0;0;0;163500
94;60;7200;0;1046;0;168;1214;1260;1031;0;2291;506;0;0;0;0;99;0;0;133900
95;69;9337;0;648;0;176;824;905;881;0;1786;684;0;162;0;0;0;0;0;204750
96;NA;9765;68;310;0;370;680;680;790;0;1470;420;232;63;0;0;0;0;480;185000
97;78;10264;183;1162;0;426;1588;1588;0;0;1588;472;158;29;0;0;0;0;0;214000
98;73;10921;48;520;0;440;960;960;0;0;960;432;120;0;0;0;0;0;0;94750
99;85;10625;0;108;0;350;458;835;0;0;835;366;0;0;77;0;0;0;400;83000
100;77;9320;0;569;0;381;950;1225;0;0;1225;0;352;0;0;0;0;0;400;128950
101;NA;10603;28;1200;0;410;1610;1610;0;0;1610;480;168;68;0;0;0;0;0;205000
102;77;9206;336;0;0;741;741;977;755;0;1732;476;192;46;0;0;0;0;0;178000
103;64;7018;0;0;0;0;0;1535;0;0;1535;410;0;0;0;0;0;0;0;118964
104;94;10402;0;0;0;1226;1226;1226;0;0;1226;740;0;36;0;0;0;0;0;198900
105;NA;7758;600;224;0;816;1040;1226;592;0;1818;240;0;0;0;0;184;0;0;169500
106;75;9375;768;0;0;1053;1053;1053;939;0;1992;648;140;45;0;0;0;0;0;250000
107;60;10800;0;0;0;641;641;1047;0;0;1047;273;0;0;0;0;0;0;450;100000
108;50;6000;0;104;169;516;789;789;0;0;789;250;0;0;0;0;0;0;0;115000
109;85;8500;0;0;0;793;793;997;520;0;1517;0;0;0;144;0;0;0;0;115000
110;105;11751;480;705;0;1139;1844;1844;0;0;1844;546;0;122;0;0;0;0;0;190000
111;75;9525;0;444;0;550;994;1216;639;0;1855;325;182;0;0;0;0;0;0;136900
112;NA;7750;0;250;0;134;384;774;656;0;1430;400;180;0;0;0;0;0;0;180000
113;77;9965;220;984;0;280;1264;1282;1414;0;2696;792;120;184;0;0;168;0;0;383970
114;NA;21000;184;35;869;905;1809;2259;0;0;2259;450;166;120;192;0;0;0;0;217000
115;61;7259;0;774;150;104;1028;1436;884;0;2320;180;224;0;0;0;0;0;0;259500
116;34;3230;1129;419;0;310;729;729;729;0;1458;440;0;32;0;0;0;0;0;176000
117;NA;11616;116;170;670;252;1092;1092;0;0;1092;288;0;20;144;0;0;0;0;139000
118;74;8536;0;0;0;1125;1125;1125;0;0;1125;430;80;64;0;0;0;0;0;155000
119;90;12376;0;1470;0;203;1673;1699;1523;0;3222;594;367;0;0;0;0;0;0;320000
120;65;8461;0;0;0;728;728;728;728;0;1456;390;0;24;0;0;0;0;0;163990
121;NA;21453;0;938;0;0;938;988;0;0;988;540;0;130;0;130;0;0;0;180000
122;50;6060;0;0;0;732;732;772;351;0;1123;264;0;0;140;0;0;0;0;100000
123;75;9464;135;570;0;510;1080;1080;0;0;1080;288;0;0;0;0;130;0;0;136000
124;55;7892;0;300;0;899;1199;1199;0;0;1199;530;0;63;0;0;0;0;0;153900
125;48;17043;0;0;0;1362;1362;1586;0;0;1586;435;192;0;0;0;0;0;0;181000
126;60;6780;0;490;0;30;520;520;0;234;754;0;53;0;0;0;0;0;0;84500
127;NA;4928;0;120;0;958;1078;958;0;0;958;440;0;205;0;0;0;0;0;128000
128;55;4388;0;116;0;556;672;840;0;0;840;0;0;0;0;0;0;0;0;87000
129;69;7590;266;512;0;148;660;660;688;0;1348;453;188;108;0;0;0;0;0;155000
130;69;8973;85;567;28;413;1008;1053;0;0;1053;750;0;80;0;180;0;0;0;150000
131;88;14200;309;445;0;479;924;1216;941;0;2157;487;105;66;0;0;0;0;0;226000
132;NA;12224;40;695;0;297;992;1022;1032;0;2054;390;24;48;0;0;0;0;0;244000
133;75;7388;0;405;0;658;1063;1327;0;0;1327;624;0;0;0;0;0;0;0;150750
134;NA;6853;136;1005;0;262;1267;1296;0;0;1296;471;192;25;0;0;0;0;0;220000
135;78;10335;0;570;0;891;1461;1721;0;0;1721;440;0;96;180;0;0;0;0;180000
136;80;10400;288;0;0;1304;1304;1682;0;0;1682;530;98;0;0;0;0;0;0;174000
137;NA;10355;196;695;0;519;1214;1214;0;0;1214;318;0;111;0;0;0;0;0;143000
138;82;11070;70;0;0;1907;1907;1959;0;0;1959;766;0;0;0;0;0;0;0;171000
139;73;9066;320;668;0;336;1004;1004;848;0;1852;660;224;106;0;0;0;0;0;230000
140;65;15426;0;821;0;107;928;928;836;0;1764;470;276;99;0;0;0;0;0;231500
141;70;10500;0;432;0;432;864;864;0;0;864;0;0;0;0;0;0;0;0;115000
142;78;11645;0;1300;0;434;1734;1734;0;0;1734;660;160;24;0;0;0;0;0;260000
143;71;8520;0;507;0;403;910;910;475;0;1385;720;0;0;0;0;0;0;0;166000
144;78;10335;183;679;0;811;1490;1501;0;0;1501;577;144;29;0;0;0;0;0;204000
145;70;9100;336;1332;0;396;1728;1728;0;0;1728;504;0;0;0;0;0;0;0;125000
146;24;2522;50;0;0;970;970;970;739;0;1709;380;0;40;0;0;0;0;0;130000
147;51;6120;0;209;0;506;715;875;0;0;875;180;48;0;0;0;0;0;0;105000
148;NA;9505;180;0;0;884;884;884;1151;0;2035;434;144;48;0;0;0;0;0;222500
149;63;7500;120;680;0;400;1080;1080;0;0;1080;0;0;0;0;0;0;0;0;141000
150;NA;6240;0;0;0;896;896;896;448;0;1344;240;200;114;0;0;0;0;0;115000
151;120;10356;0;716;0;253;969;969;0;0;969;440;0;0;0;0;0;0;0;122000
152;107;13891;436;1400;0;310;1710;1710;0;0;1710;866;0;102;0;0;0;0;0;372402
153;NA;14803;252;416;0;409;825;1097;896;0;1993;495;0;66;0;0;0;0;0;190000
154;NA;13500;0;429;1080;93;1602;1252;0;0;1252;564;409;0;0;0;0;0;0;235000
155;84;11340;0;0;0;1200;1200;1200;0;0;1200;312;0;0;228;0;0;0;0;125000
156;60;9600;0;0;0;572;572;572;524;0;1096;0;0;8;128;0;0;0;0;79000
157;60;7200;0;0;0;0;0;1040;0;0;1040;625;0;0;0;0;0;0;0;109500
158;92;12003;84;0;0;774;774;774;1194;0;1968;680;0;75;0;0;0;0;0;269500
159;100;12552;0;222;0;769;991;991;956;0;1947;678;0;136;0;0;0;0;0;254900
160;134;19378;456;57;0;1335;1392;1392;1070;0;2462;576;239;132;0;168;0;0;0;320000
161;NA;11120;0;660;0;572;1232;1232;0;0;1232;516;0;0;0;0;0;0;0;162500
162;110;13688;664;1016;0;556;1572;1572;1096;0;2668;726;400;0;0;0;0;0;0;412500
163;95;12182;226;1201;0;340;1541;1541;0;0;1541;532;0;70;0;0;0;0;0;220000
164;55;5500;0;0;0;882;882;882;0;0;882;0;0;0;0;0;0;0;0;103200
165;40;5400;0;370;0;779;1149;1149;467;0;1616;216;0;0;183;0;0;0;0;152000
166;62;10106;0;351;181;112;644;808;547;0;1355;0;140;0;0;0;0;0;0;127500
167;NA;10708;0;379;768;470;1617;1867;0;0;1867;303;476;0;0;0;142;0;0;190000
168;86;10562;300;1288;0;294;1582;1610;551;0;2161;789;178;120;0;0;0;0;0;325624
169;62;8244;0;0;0;840;840;840;880;0;1720;440;100;48;0;0;0;0;0;183500
170;NA;16669;653;0;0;1686;1686;1707;0;0;1707;511;574;64;0;0;0;0;0;228000
171;NA;12358;0;360;0;360;720;854;0;528;1382;660;237;0;0;0;0;0;0;128500
172;141;31770;112;639;0;441;1080;1656;0;0;1656;528;210;62;0;0;0;0;0;215000
173;44;5306;0;495;215;354;1064;1064;703;0;1767;504;441;35;0;0;0;0;0;239000
174;80;10197;491;288;374;700;1362;1362;0;0;1362;504;0;20;0;0;0;0;0;163000
175;47;12416;132;1398;208;0;1606;1651;0;0;1651;616;192;0;0;0;0;0;0;184000
176;84;12615;0;477;0;725;1202;2158;0;0;2158;576;0;29;39;0;0;0;0;243000
177;97;10029;268;831;0;320;1151;1164;896;0;2060;521;0;228;0;0;192;0;0;211000
178;NA;13650;0;57;441;554;1052;1252;668;0;1920;451;0;0;0;0;0;0;0;172500
179;63;17423;748;1904;0;312;2216;2234;0;0;2234;1166;0;60;0;0;0;0;0;501837
180;60;8520;0;0;0;968;968;968;0;0;968;480;0;0;184;0;0;0;0;100000
181;NA;2117;456;436;0;320;756;769;756;0;1525;440;0;0;0;0;0;0;0;177000
182;54;7588;0;352;0;441;793;901;901;0;1802;216;0;0;40;0;0;0;0;200100
183;60;9060;98;0;0;0;0;1340;0;0;1340;252;116;0;0;180;0;0;0;120000
184;63;11426;0;0;0;1362;1362;1362;720;0;2082;484;280;238;0;0;0;0;0;200000
185;92;7438;0;0;0;504;504;936;316;0;1252;576;104;0;0;0;0;0;0;127000
186;90;22950;0;0;0;1107;1107;1518;1518;572;3608;840;0;260;0;0;410;0;0;475000
187;NA;9947;0;611;0;577;1188;1217;0;0;1217;497;168;27;0;0;0;0;0;173000
188;60;10410;0;0;0;660;660;808;704;144;1656;180;0;0;0;140;0;0;0;135000
189;64;7018;275;1086;0;0;1086;1224;0;0;1224;528;120;0;0;0;0;0;0;153337
190;41;4923;0;1153;0;440;1593;1593;0;0;1593;682;0;120;0;0;224;0;0;286000
191;70;10570;0;297;0;556;853;1549;1178;0;2727;440;0;74;0;0;0;0;0;315000
192;NA;7472;138;626;0;99;725;725;754;0;1479;484;0;32;0;0;0;0;0;184000
193;68;9017;0;560;0;871;1431;1431;0;0;1431;666;0;35;0;0;0;0;0;192000
194;24;2522;50;0;0;970;970;970;739;0;1709;380;0;40;0;0;0;0;0;130000
195;60;7180;0;390;0;474;864;864;0;0;864;352;0;0;0;0;0;0;0;127000
196;24;2280;0;566;0;289;855;855;601;0;1456;440;87;0;0;0;0;0;0;148500
197;79;9416;205;1126;0;600;1726;1726;0;0;1726;786;171;138;0;0;266;0;0;311872
198;174;25419;0;1036;184;140;1360;1360;1360;392;3112;795;0;16;552;0;0;512;0;235000
199;92;5520;0;0;0;755;755;929;929;371;2229;0;0;198;30;0;0;0;0;104000
200;76;9591;262;1088;0;625;1713;1713;0;0;1713;856;0;26;0;0;170;0;0;274900
201;80;8546;0;0;0;1121;1121;1121;0;0;1121;440;132;64;0;0;0;0;0;140000
202;75;10125;0;641;279;276;1196;1279;0;0;1279;473;238;83;0;0;0;0;0;171500
203;50;7000;0;617;0;0;617;865;445;0;1310;398;0;0;126;0;0;0;0;112000
204;NA;4438;205;662;0;186;848;848;0;0;848;420;149;0;0;0;0;0;0;149000
205;50;3500;0;312;0;408;720;720;564;0;1284;240;0;35;0;0;0;0;0;110000
206;99;11851;0;0;0;1424;1424;1442;0;0;1442;500;0;34;0;508;0;0;0;180500
207;40;13673;0;0;0;1140;1140;1696;0;0;1696;349;0;30;0;0;0;0;0;143900
208;NA;12493;0;419;306;375;1100;1100;0;0;1100;312;355;0;0;0;0;0;0;141000
209;NA;14364;128;1065;0;92;1157;1180;882;0;2062;454;60;55;0;0;154;0;0;277000
210;75;8250;260;787;0;305;1092;1092;0;0;1092;504;0;0;0;0;0;0;0;145000
211;67;5604;0;468;0;396;864;864;0;0;864;0;0;0;96;0;0;0;0;98000
212;83;10420;0;36;0;1176;1212;1212;0;0;1212;460;100;22;0;0;0;0;0;186000
213;72;8640;0;822;0;78;900;932;920;0;1852;644;168;108;0;0;0;0;0;252678
214;43;13568;0;716;0;274;990;990;0;0;990;576;224;0;0;0;0;0;0;156000
215;NA;10900;153;378;0;311;689;689;703;0;1392;299;0;36;0;0;0;0;450;161750
216;72;10011;64;360;0;710;1070;1236;0;0;1236;447;0;0;0;0;0;0;0;134450
217;65;8450;266;946;0;490;1436;1436;0;0;1436;484;139;98;0;0;0;0;0;210000
218;57;9906;0;0;0;686;686;810;518;0;1328;210;0;172;60;0;0;0;0;107000
219;NA;15660;312;341;0;457;798;1137;817;0;1954;431;0;119;150;0;0;0;0;311500
220;43;3010;16;16;0;1232;1248;1248;0;0;1248;438;108;0;0;0;0;0;0;167240
221;73;8990;0;0;0;1498;1498;1498;0;0;1498;675;351;33;0;0;0;0;0;204900
222;NA;8068;0;0;0;1010;1010;1010;1257;0;2267;390;120;46;0;0;0;0;0;200000
223;85;11475;0;550;0;163;713;811;741;0;1552;434;209;208;0;0;0;0;0;179900
224;70;10500;0;524;180;160;864;864;0;0;864;576;216;0;0;0;0;0;0;97000
225;103;13472;922;56;0;2336;2392;2392;0;0;2392;968;248;105;0;0;0;0;0;386250
226;21;1680;142;0;0;630;630;630;672;0;1302;280;0;0;0;0;0;0;0;112000
227;82;9950;290;565;0;638;1203;1214;1306;0;2520;721;224;114;0;0;0;0;0;290000
228;21;1869;127;321;0;162;483;483;504;0;987;280;0;0;0;0;0;0;0;106000
229;70;8521;0;842;0;70;912;912;0;0;912;336;0;0;0;0;0;0;0;125000
230;43;3182;16;16;0;1357;1373;1555;0;0;1555;430;143;20;0;0;0;0;0;192500
231;73;8760;220;0;0;1194;1194;1194;0;0;1194;312;0;0;120;0;0;0;0;148000
232;174;15138;506;689;0;773;1462;1490;1304;0;2794;810;0;146;202;0;0;0;0;403000
233;21;1680;297;0;0;483;483;483;504;0;987;288;0;0;0;0;0;0;0;94500
234;75;10650;0;182;712;0;894;894;0;0;894;308;365;0;0;0;0;0;0;128200
235;NA;7851;NA;625;0;235;860;860;1100;0;1960;440;288;48;0;0;0;0;0;216500
236;21;1680;604;358;0;125;483;483;504;0;987;264;0;0;0;0;0;0;0;89500
237;65;8773;98;24;0;1390;1414;1414;0;0;1414;494;132;105;0;0;0;0;0;185500
238;NA;9453;0;402;0;594;996;1014;730;0;1744;457;370;70;0;238;0;0;0;194500
239;93;12030;254;0;0;1694;1694;1694;0;0;1694;818;168;228;0;0;0;0;0;318000
240;52;8741;0;94;0;641;735;798;689;0;1487;220;0;140;0;0;0;0;0;113000
241;75;9000;36;1078;0;488;1566;1566;0;0;1566;750;144;168;0;0;0;0;0;262500
242;40;3880;0;329;0;357;686;866;0;0;866;0;58;42;0;0;0;0;0;110500
243;63;5000;0;0;0;540;540;889;551;0;1440;352;0;0;77;0;0;0;0;79000
244;75;10762;0;0;0;626;626;626;591;0;1217;288;0;28;0;0;0;0;0;120000
245;NA;8880;0;695;0;253;948;1222;888;0;2110;463;0;130;0;0;0;0;0;205000
246;80;10400;102;929;0;916;1845;1872;0;0;1872;604;197;39;0;0;0;0;0;241500
247;69;9142;0;0;0;1020;1020;908;1020;0;1928;440;0;60;112;0;0;0;0;137000
248;75;11310;0;0;0;1367;1367;1375;0;0;1375;451;0;30;0;0;0;0;0;140000
249;72;11317;101;0;0;840;840;840;828;0;1668;500;144;68;0;0;0;0;0;180000
250;NA;159000;472;697;0;747;1444;1444;700;0;2144;389;0;98;0;0;0;0;500;277000
251;55;5350;0;0;0;728;728;1306;0;0;1306;0;263;0;0;0;0;0;450;76500
252;44;4750;481;1573;0;0;1573;1625;0;0;1625;538;123;0;0;0;153;0;0;235000
253;65;8366;0;0;0;798;798;798;842;0;1640;520;138;45;0;0;0;0;0;173000
254;85;9350;108;270;580;452;1302;1302;0;0;1302;309;333;0;0;0;0;0;0;158000
255;70;8400;0;922;0;392;1314;1314;0;0;1314;294;250;0;0;0;0;0;0;145000
256;66;8738;302;0;0;975;975;1005;1286;0;2291;429;192;0;0;0;0;0;0;230000
257;64;8791;0;503;0;361;864;864;864;0;1728;673;216;56;0;0;0;0;0;207500
258;68;8814;180;1334;0;270;1604;1604;0;0;1604;660;123;110;0;0;0;0;0;220000
259;80;12435;172;361;0;602;963;963;829;0;1792;564;0;96;0;245;0;0;0;231500
260;70;12702;0;0;0;0;0;882;0;0;882;308;0;45;0;0;0;0;0;97000
261;120;19296;399;672;690;0;1362;1382;0;0;1382;884;0;0;252;0;0;0;0;176000
262;69;9588;270;0;0;1482;1482;1482;1092;0;2574;868;0;148;0;0;0;0;0;276000
263;88;8471;46;506;0;0;506;1212;0;0;1212;492;292;12;0;0;0;0;0;151000
264;50;5500;0;234;692;0;926;926;0;390;1316;484;0;0;0;0;0;0;0;130000
265;30;5232;0;0;0;680;680;764;0;0;764;504;0;0;0;0;0;0;0;73000
266;78;12090;210;588;228;606;1422;1422;0;0;1422;576;276;0;0;0;0;0;0;175500
267;70;11207;0;714;0;88;802;802;709;0;1511;413;95;75;0;0;0;0;0;185000
268;60;8400;0;378;0;342;720;1052;720;420;2192;240;262;24;0;0;0;0;0;179500
269;71;6900;0;403;125;212;740;778;0;0;778;924;0;25;0;0;0;0;0;120500
270;NA;7917;174;751;0;392;1143;1113;0;0;1113;504;370;30;0;0;0;0;0;148000
271;84;10728;0;0;0;1095;1095;1095;844;0;1939;1053;192;51;0;0;0;0;0;266000
272;73;39104;0;226;1063;96;1385;1363;0;0;1363;439;81;0;0;0;0;0;0;241500
273;92;11764;348;524;0;628;1152;1164;1106;0;2270;671;132;57;0;0;0;0;0;290000
274;80;9600;183;620;620;0;1240;1632;0;0;1632;338;289;0;0;0;0;0;0;139000
275;76;8314;0;546;0;270;816;816;0;0;816;264;168;0;0;0;0;0;0;124500
276;55;7264;0;0;0;952;952;952;596;0;1548;672;74;0;0;0;144;0;0;205000
277;129;9196;0;0;0;1560;1560;1560;0;0;1560;573;100;150;0;0;0;0;0;201000
278;140;19138;0;120;0;744;864;864;0;0;864;400;0;0;0;0;0;0;0;141000
279;107;14450;315;0;0;2121;2121;2121;0;0;2121;732;124;98;0;0;142;0;0;415298
280;83;10005;299;392;0;768;1160;1156;866;0;2022;505;288;117;0;0;0;0;0;192000
281;82;11287;340;421;0;386;807;1175;807;0;1982;575;0;84;0;196;0;0;0;228500
282;60;7200;68;905;0;357;1262;1262;0;0;1262;572;0;120;0;0;0;0;0;185000
283;34;5063;166;904;0;410;1314;1314;0;0;1314;626;172;62;0;0;0;0;0;207500
284;74;9612;72;0;0;1468;1468;1468;0;0;1468;898;210;150;0;0;0;0;0;244600
285;50;8012;0;430;0;1145;1575;1575;0;0;1575;529;0;0;52;0;0;0;0;179200
286;35;4251;0;0;0;625;625;625;625;0;1250;528;0;54;0;0;0;0;0;164700
287;77;9786;0;600;0;312;912;1085;649;0;1734;440;0;0;0;0;128;0;0;159000
288;NA;8125;0;614;0;244;858;858;0;0;858;0;0;0;0;0;0;0;0;88000
289;NA;9819;31;450;0;432;882;900;0;0;900;280;0;0;0;0;0;0;0;122000
290;60;8730;0;0;0;698;698;698;698;0;1396;384;0;0;0;0;259;0;0;153575
291;120;15611;0;0;0;1079;1079;1079;840;0;1919;685;0;51;0;0;0;0;0;233230
292;55;5687;0;210;0;570;780;936;780;0;1716;0;0;184;0;0;0;0;0;135900
293;60;11409;0;292;0;476;768;1148;568;0;1716;281;0;0;0;0;160;0;0;131000
